Hosts,Cluster,Switch,NIC,VMK,IP
esxi21.v.lab,vSAN_Cluster,vSwitch0,vmnic1,ManagementNetwork2,192.168.2.31
esxi22.v.lab,vSAN_Cluster,vSwitch0,vmnic1,ManagementNetwork2,192.168.2.32
esxi23.v.lab,vSAN_Cluster,vSwitch0,vmnic1,ManagementNetwork2,192.168.2.33
esxi24.v.lab,iSCSI_Cluster,vSwitch0,vmnic1,ManagementNetwork2,192.168.2.34
esxi25.v.lab,iSCSI_Cluster,vSwitch0,vmnic1,ManagementNetwork2,192.168.2.35
esxi21.v.lab,vSAN_Cluster,NFSSwitch,vmnic2,NFS,192.168.3.21
esxi22.v.lab,vSAN_Cluster,NFSSwitch,vmnic2,NFS,192.168.3.22
esxi23.v.lab,vSAN_Cluster,NFSSwitch,vmnic2,NFS,192.168.3.23
esxi24.v.lab,iSCSI_Cluster,NFSSwitch,vmnic2,NFS,192.168.3.24
esxi25.v.lab,iSCSI_Cluster,NFSSwitch,vmnic2,NFS,192.168.3.25
esxi21.v.lab,vSAN_Cluster,vSANSwitch,vmnic3,vSAN1,192.168.5.21
esxi22.v.lab,vSAN_Cluster,vSANSwitch,vmnic3,vSAN1,192.168.5.22
esxi23.v.lab,vSAN_Cluster,vSANSwitch,vmnic3,vSAN1,192.168.5.23
esxi24.v.lab,iSCSI_Cluster,iSCSISwitch,vmnic3,iSCSI1,192.168.4.24
esxi25.v.lab,iSCSI_Cluster,iSCSISwitch,vmnic3,iSCSI1,192.168.4.25
esxi21.v.lab,vSAN_Cluster,vSANSwitch,vmnic4,vSAN2,192.168.5.31
esxi22.v.lab,vSAN_Cluster,vSANSwitch,vmnic4,vSAN2,192.168.5.32
esxi23.v.lab,vSAN_Cluster,vSANSwitch,vmnic4,vSAN2,192.168.5.33
esxi24.v.lab,iSCSI_Cluster,iSCSISwitch,vmnic4,iSCSI2,192.168.4.34
esxi25.v.lab,iSCSI_Cluster,iSCSISwitch,vmnic4,iSCSI2,192.168.4.35
esxi21.v.lab,vSAN_Cluster,vMotionSwitch,vmnic5,vMotion1,192.168.6.21
esxi22.v.lab,vSAN_Cluster,vMotionSwitch,vmnic5,vMotion1,192.168.6.22
esxi23.v.lab,vSAN_Cluster,vMotionSwitch,vmnic5,vMotion1,192.168.6.23
esxi24.v.lab,iSCSI_Cluster,vMotionSwitch,vmnic5,vMotion1,192.168.6.24
esxi25.v.lab,iSCSI_Cluster,vMotionSwitch,vmnic5,vMotion1,192.168.6.25
esxi21.v.lab,vSAN_Cluster,vMotionSwitch,vmnic6,vMotion2,192.168.6.31
esxi22.v.lab,vSAN_Cluster,vMotionSwitch,vmnic6,vMotion2,192.168.6.32
esxi23.v.lab,vSAN_Cluster,vMotionSwitch,vmnic6,vMotion2,192.168.6.33
esxi24.v.lab,iSCSI_Cluster,vMotionSwitch,vmnic6,vMotion2,192.168.6.34
esxi25.v.lab,iSCSI_Cluster,vMotionSwitch,vmnic6,vMotion2,192.168.6.35
esxi21.v.lab,vSAN_Cluster,FTSwitch,vmnic7,FT1,192.168.7.21
esxi22.v.lab,vSAN_Cluster,FTSwitch,vmnic7,FT1,192.168.7.22
esxi23.v.lab,vSAN_Cluster,FTSwitch,vmnic7,FT1,192.168.7.23
esxi24.v.lab,iSCSI_Cluster,FTSwitch,vmnic7,FT1,192.168.7.24
esxi25.v.lab,iSCSI_Cluster,FTSwitch,vmnic7,FT1,192.168.7.25
esxi21.v.lab,vSAN_Cluster,FTSwitch,vmnic8,FT2,192.168.7.31
esxi22.v.lab,vSAN_Cluster,FTSwitch,vmnic8,FT2,192.168.7.32
esxi23.v.lab,vSAN_Cluster,FTSwitch,vmnic8,FT2,192.168.7.33
esxi24.v.lab,iSCSI_Cluster,FTSwitch,vmnic8,FT2,192.168.7.34
esxi25.v.lab,iSCSI_Cluster,FTSwitch,vmnic8,FT2,192.168.7.35
